iter	Passed	Remaining
0	169	169719
1	172	86041
2	174	57937
3	176	43825
4	177	35401
5	180	29910
6	182	25942
7	184	22880
8	185	20474
9	187	18535
10	188	16964
11	190	15656
12	191	14536
13	192	13577
14	194	12794
15	196	12075
16	197	11414
17	198	10832
18	199	10317
19	201	9849
20	202	9430
21	203	9033
22	204	8675
23	205	8348
24	206	8044
25	207	7774
26	210	7568
27	211	7325
28	211	7097
29	212	6882
30	213	6682
31	214	6492
32	215	6316
33	216	6148
34	217	5986
35	217	5833
36	218	5692
37	219	5557
38	220	5428
39	221	5304
40	221	5188
41	222	5081
42	223	4984
43	224	4885
44	225	4789
45	226	4698
46	227	4616
47	228	4531
48	229	4449
49	229	4368
50	230	4292
51	231	4220
52	232	4150
53	232	4081
54	233	4017
55	234	3955
56	235	3895
57	236	3841
58	238	3802
59	239	3749
60	240	3696
61	240	3643
62	241	3593
63	242	3544
64	242	3495
65	243	3448
66	244	3402
67	244	3357
68	245	3314
69	246	3273
70	247	3232
71	247	3193
72	248	3154
73	249	3116
74	249	3080
75	250	3045
76	251	3010
77	252	2982
78	253	2952
79	254	2923
80	255	2897
81	255	2864
82	256	2833
83	257	2804
84	257	2775
85	258	2747
86	259	2719
87	259	2694
88	260	2668
89	261	2642
90	261	2616
91	262	2591
92	263	2566
93	263	2542
94	264	2518
95	265	2496
96	265	2473
97	266	2449
98	267	2432
99	268	2414
100	269	2394
101	269	2374
102	270	2354
103	271	2335
104	271	2314
105	272	2295
106	272	2276
107	273	2259
108	274	2241
109	274	2223
110	275	2205
111	276	2188
112	276	2171
113	277	2154
114	277	2138
115	278	2123
116	279	2107
117	279	2092
118	280	2077
119	281	2067
120	282	2055
121	283	2041
122	284	2027
123	285	2013
124	285	2000
125	286	1986
126	287	1973
127	287	1960
128	288	1947
129	289	1934
130	289	1921
131	290	1909
132	291	1897
133	291	1885
134	292	1873
135	293	1861
136	293	1850
137	294	1839
138	295	1828
139	295	1818
140	297	1811
141	298	1801
142	298	1791
143	299	1781
144	300	1771
145	301	1761
146	301	1752
147	302	1742
148	303	1733
149	304	1723
150	304	1714
151	305	1704
152	306	1694
153	306	1685
154	307	1676
155	308	1667
156	308	1658
157	309	1649
158	310	1640
159	311	1635
160	312	1630
161	313	1622
162	314	1613
163	314	1605
164	315	1596
165	316	1588
166	316	1580
167	317	1572
168	318	1564
169	318	1556
170	319	1549
171	320	1542
172	320	1534
173	321	1527
174	322	1519
175	323	1512
176	323	1505
177	324	1497
178	325	1490
179	325	1484
180	326	1478
181	327	1473
182	328	1467
183	329	1461
184	330	1455
185	331	1449
186	332	1443
187	332	1436
188	333	1430
189	333	1423
190	334	1417
191	335	1410
192	335	1404
193	336	1398
194	337	1392
195	337	1386
196	338	1380
197	339	1374
198	339	1368
199	340	1362
200	341	1358
201	342	1354
202	343	1348
203	344	1343
204	345	1337
205	345	1332
206	346	1326
207	346	1321
208	347	1315
209	348	1310
210	348	1304
211	349	1299
212	350	1294
213	351	1289
214	351	1284
215	352	1279
216	353	1274
217	353	1269
218	354	1264
219	355	1259
220	355	1254
221	357	1251
222	358	1248
223	359	1244
224	359	1239
225	360	1234
226	361	1230
227	361	1225
228	362	1220
229	363	1216
230	363	1211
231	364	1206
